字母開頭,字彙,詞類,中文,級數
a,abandon,verb,拋棄、捨棄、中止,中級
a,abandon,noun,with(gay/wild)abandon盡情;放縱ex.Wedancedwithwildabandon(我們縱情舞蹈),中級
a,abnormal,adj.,不正常的,中級
a,aboard,prep./adv.,在(交通工具)上,中級
a,absence,noun,缺席、不在場,中級
a,absolute,adj./noun,完全的、絕對的；絕對,中級
a,absorb,verb,吸收、併入,中級
a,abstract,adj./noun,抽象的,中級
a,abstract,noun,摘要,中級
a,abuse,noun/verb,濫用、虐待,中級
a,academic,adj.,學術的、學業的,中級
a,academy,noun,學院、學會,中級
a,accent,noun,口音、腔調,中級
a,acceptable,adj.,可接受的、認可的,中級
a,acceptance,noun,接受、認可,中級
a,accepted,adj.,公認的,中級
a,access,noun/verb,通道、進入(的權利)；存取、到達、進入,中級
a,accidental,adj.,意外的、偶然的,中級
a,accommodate,verb,容納,中級
a,accommodation,noun,住宿、停留處,中級
a,accompany,verb,陪同、伴隨,中級
a,accomplish,verb,完成,中級
a,accord,verb,贈予、授予、(與...)一致,中級
a,accord,noun,協議、條約,中級
a,account,noun,帳戶、帳號、敘述,中級
a,account,verb,視為、解釋、(數量或比例上)佔,中級
a,accountant,noun,會計師,中級
a,accuracy,noun,準確(度),中級
a,accurate,adj.,正確的、精準的,中級
a,accuse,verb,指控,中級
a,ache,noun/verb,疼痛,中級
a,achievement,noun,成就、成績,中級
a,acid,noun/adj.,酸；酸(性)的,中級
a,acquaint,verb,使熟悉、使了解,中級
a,acquaintance,noun,認識的人、交情、(對事物的)了解,中級
a,acquire,verb,獲得、購得,中級
a,acre,noun,英畝,中級
a,actual,adj.,實際的、真正的,中級
a,adapt,verb,(使)適應、改編,中級
a,additional,adj.,額外的、附加的,中級
a,address,verb,對...講話、發表演說；處理、應對,中級
a,adequate,adj.,足夠的、合格的,中級
a,adjective,noun,形容詞=adj.,中級
a,adjust,verb,調整；適應；整理(衣著),中級
a,administration,noun,管理(部門)、行政(部門)；施行、施用,中級
a,admirable,adj.,可欽佩的、值得讚賞的,中級
a,admiration,noun,欽佩、仰慕、讚賞,中級
a,admission,noun,承認、招認；入場費；允許進入,中級
a,advanced,adj.,先進的、高級的、(發展)後期的,中級
a,advertise,verb,登廣告、徵聘、宣傳=advertize,中級
a,adviser,noun,顧問、忠告者=advisor,中級
a,affection,noun,喜愛、鍾愛,中級
a,afford,verb,買得起、承擔、提供,中級
a,afterward,adv.,後來=afterwards(BritishEnglish),中級
a,aged,adj.,…歲的、年邁的,中級
a,agency,noun,代理機構、政府專門機構,中級
a,agent,noun,代理商、代理人、經紀人,中級
a,aggressive,adj.,好鬥的、挑臖的；積極進取的,中級
a,agreeable,adj.,令人愉悅的、宜人的；欣然同意的、願意接受的,中級
a,agreement,noun,協議、意見一致、同意,中級
a,agriculture,noun,農業,中級
a,air-conditioned,adj.,有空調的,中級
a,airmail,noun,航空郵件,中級
a,alcohol,noun,酒、酒精,中級
a,alcoholic,noun,酗酒者、酒精中毒者,中級
a,alcoholic,adj.,酒精的、含酒精的,中級
a,alert,verb,使警覺、使意識到,中級
a,alert,adj.,警覺的、機警的,中級
a,alert,noun,警報、戒備,中級
a,alley,noun,小街、小巷,中級
a,allowance,noun,零用錢；津貼、補助；限額、定量零用錢=pocketmoney,中級
a,alongside,prep./adv.,在...旁邊、與...一起,中級
a,alternative,noun,可供選擇的事物,中級
a,alternative,adj.,可替代的、可供選擇的；非傳統的、另類的,中級
a,altitude,noun,海拔高度,中級
a,aluminium,noun,鋁,中級
a,amateur,adj./noun,業餘的、業餘愛好的；業餘愛好者、業餘運動員,中級
a,amaze,verb,使驚奇,中級
a,ambassador,noun,大使,中級
a,ambition,noun,野心,中級
a,ambitious,adj.,有野心的、雄心勃勃的,中級
a,amid,prep.,在…中,中級
a,amuse,verb,逗樂、(使)娛樂,中級
a,amusement,noun,愉悅、娛樂(活動),中級
a,analysis,noun,分析,中級
a,analyst,noun,分析者、化驗員,中級
a,analyze,verb,分析=analyse(BritishEnglish),中級
a,ancestor,noun,祖先,中級
a,angle,noun,角度、觀點,中級
a,anniversary,noun,週年紀念日,中級
a,announce,verb,宣布、公告、廣播,中級
a,announcement,noun,宣布、公告,中級
a,announcer,noun,廣播員,中級
a,annoy,verb,使惱怒、打擾,中級
a,annual,adj./noun,每年的、一年一次的；年報、年刊,中級
a,anxiety,noun,焦慮、憂慮,中級
a,anxious,adj.,焦慮的、不安的；渴望做某事,中級
a,anyhow,adv.,無論如何,中級
a,apart,adv./adj.,(空間或時間的)分隔、相隔；分離的,中級
a,ape,noun,人猿,中級
a,ape,verb,模仿、學...的樣子,中級
a,apology,noun,道歉,中級
a,app,noun,應用程式,中級
a,apparent,adj.,顯然的,中級
a,appeal,noun,呼籲；申訴；吸引力,中級
a,appeal,verb,呼籲；提出申訴；對...有吸引力,中級
a,appetite,noun,食慾、胃口,中級
a,applaud,verb,鼓掌、稱讚,中級
a,applause,noun,鼓掌、喝采,中級
a,appliance,noun,家電、器具,中級
a,applicant,noun,申請人,中級
a,application,noun,申請、申請書；用途、應用；應用軟體,中級
a,appoint,verb,任命、安排,中級
a,appointment,noun,約會、預約；任命；職務,中級
a,appreciation,noun,欣賞；感激、感謝,中級
a,approach,noun,方式、方法,中級
a,approach,verb,接近；接洽；著手處理,中級
a,appropriate,adj.,合適、恰當的,中級
a,approval,noun,贊成、批准,中級
a,approve,verb,贊成、批准,中級
a,apron,noun,圍裙,中級
a,aquarium,noun,魚缸、水族館,中級
a,arch,noun/verb,拱門；使成弓形,中級
a,architect,noun,建築師,中級
a,architecture,noun,建築學、建築設計,中級
a,argument,noun,爭吵、論點,中級
a,arise,verb,發生、由…引起,中級
a,arithmetic,noun/adj.,算術；算術的,中級
a,arouse,verb,激起,中級
a,arrangement,noun,安排、籌備,中級
a,arrival,noun,抵達,中級
a,arrow,noun,弓箭、箭號,中級
a,artificial,adj.,人工的、人造的,中級
a,artistic,adj.,藝術的、有藝術天賦的,中級
a,ascend,verb,上升、登高,中級
a,ash,noun,灰燼,中級
a,ashamed,adj.,感到羞愧的,中級
a,aside,adv.,在旁邊,中級
a,aspect,noun,方面、層面,中級
a,aspirin,noun,阿斯匹靈,中級
a,assassinate,verb,暗殺,中級
a,assemble,verb,集合、聚集；組裝,中級
a,assembly,noun,集會、議會；裝配,中級
a,asset,noun,資產,中級
a,assign,verb,指派、分配,中級
a,assist,verb,協助、援助,中級
a,assistance,noun,幫忙、援助,中級
a,associate,verb,聯想、聯繫,中級
a,associate,noun,同事、合夥人,中級
a,associate,adj.,副的、非正式的,中級
a,association,noun,協會、社團、聯盟；關聯、聯想,中級
a,assurance,noun,保證、擔保；自信,中級
a,assure,verb,向...保證、確保,中級
a,astonish,verb,使吃驚,中級
a,astronaut,noun,太空人,中級
a,athlete,noun,運動員、擅長運動的人,中級
a,athletic,adj.,健壯的、擅長運動的、田徑運動的,中級
a,atmosphere,noun,大氣、大氣層、空氣；氣氛、氛圍,中級
a,atom,noun,原子,中級
a,atomic,adj.,原子的、原子能的,中級
a,attach,verb,裝上、使依附,中級
a,attempt,noun/verb,嘗試、企圖,中級
a,attitude,noun,態度,中級
a,attract,verb,吸引,中級
a,attraction,noun,吸引力；迷戀、愛慕,中級
a,attractive,adj.,誘人的、吸引人的,中級
a,audio,adj.,聲音的、錄音的,中級
a,author,noun,作者,中級
a,authority,noun,權力、職權；官方、當權者,中級
a,autobiography,noun,自傳,中級
a,automatic,adj.,自動的,中級
a,automobile,noun,汽車=auto,中級
a,auxiliary,noun,助動詞=aux.,中級
a,auxiliary,noun/adj.,輔助人員；輔助的,中級
a,avenue,noun,大街；途徑、管道、方法,中級
a,average,adj./noun/verb,平均的；平均數；平均為,中級
a,await,verb,等待,中級
a,awake,adj./verb,醒著；醒來、喚起,中級
a,awaken,verb,醒來、喚醒,中級
a,award,noun/verb,獎、獎金、獎品；獎勵、授予,中級
a,awful,adj.,很壞的、糟糕的、令人不愉快的,中級
a,awkward,adj.,令人尷尬的；難對付的；笨拙的,中級
a,ax,verb,用斧頭劈、砍掉；裁減、撤銷、開除=axe(BritishEnglish),中級
a,ax,noun,斧頭；裁減、解雇=axe(BritishEnglish),中級
b,background,noun,背景,中級
b,bacon,noun,培根,中級
b,bacteria,noun,細菌bacterium(singularform),中級
b,baggage,noun,行李,中級
b,baggy,adj.,(衣服)寬鬆的、寬大下垂的,中級
b,bait,noun/verb,魚餌、誘餌；下誘餌,中級
b,balance,noun/verb,平衡、均衡；保持平衡,中級
b,bald,adj.,禿頭的,中級
b,ballet,noun,芭蕾舞、芭蕾舞劇,中級
b,bamboo,noun,竹子,中級
b,ban,verb/noun,禁止；禁令,中級
b,bandage,noun/verb,繃帶；用繃帶包紮,中級
B,Band-Aid,noun,OK繃=band-aid,中級
b,bang,noun/verb,重擊、巨響；撞擊、使發出巨響,中級
b,banking,noun,處理銀行帳戶事宜、銀行業,中級
b,bankrupt,adj./verb/noun,破產的；使破產；破產者,中級
b,barbershop,noun,理髮店,中級
b,bare,adj./verb,赤裸的、無遮蔽的；使赤裸、使暴露,中級
b,barely,adv.,僅、剛好、幾乎沒有,中級
b,bargain,noun,特價品；協議、交易,中級
b,bargain,verb,特價品、協議；討價還價,中級
b,barn,noun,穀倉,中級
b,barrel,noun,大桶,中級
b,barrier,noun,屏障、障礙物、隔閡,中級
b,basin,noun,盆、水盆；流域；船塢、內灣,中級
b,battery,noun,電池,中級
b,battle,noun/verb,戰爭、鬥爭；作戰、奮鬥,中級
b,bay,noun,灣、海灣,中級
B,BC,adv.,西元前=BeforeChrist,中級
b,bead,noun,(有孔的)珠子,中級
b,beak,noun,鳥喙,中級
b,beam,noun,光線、光束,中級
b,beam,verb,照射、發光；高興地微笑、眉開眼笑,中級
b,beast,noun,(大型或野生的)動物、野獸；粗暴的人、兇殘的人,中級
b,beauty,noun,美麗、美人、美好的事物,中級
b,bedtime,noun,就寢時間,中級
b,beetle,noun,甲蟲,中級
b,beg,verb,乞討、請求,中級
b,beggar,noun,乞丐,中級
b,beggar,verb,使貧窮、使匱乏,中級
b,behavior,noun,行為、舉止=behaviour(BritishEnglish),中級
b,being,noun,生命、生物；存在、生存,中級
b,believable,adj.,可信的,中級
b,belly,noun,腹部、肚子,中級
b,bend,verb/noun,使彎曲、彎腰；彎曲處、彎道,中級
b,beneath,prep.,在...下面,中級
b,beneficial,adj.,有利的、有助的,中級
b,benefit,noun/verb,利益、好處；對...有幫助、使受惠,中級
b,berry,noun,莓果,中級
b,bet,noun/verb,賭注；打賭、賭博,中級
B,Bible,noun,聖經,中級
b,bid,noun/verb,出價、投標、努力爭取,中級
b,billion,noun,十億,中級
b,bin,noun,垃圾箱、容器、箱子,中級
b,bind,verb,綑綁、包紮,中級
b,bingo,noun,賓果遊戲,中級
b,biography,noun,自傳,中級
b,birth,noun,出生、起源,中級
b,biscuit,noun,餅乾、小麵包,中級
b,bleed,verb,流血,中級
b,blend,verb/noun,混合、使交融；混合物,中級
b,bless,verb,為…祝福,中級
b,blessing,noun,祝福、祝頌；幸事、好事,中級
b,blink,verb/noun,眨眼睛,中級
b,blonde,adj./noun,金色頭髮的；金髮女郎=blond,中級
b,bloody,adj.,流血的、血腥的,中級
b,bloom,noun/verb,花；開花、綻放,中級
b,blossom,noun/verb,花朵；開花,中級
b,blush,verb/noun,臉紅,中級
b,boast,verb/noun,吹噓、自誇,中級
b,bold,adj.,大膽的、勇敢無畏的；醒目的、粗體的,中級
b,bond,noun/verb,聯繫、關係；結合、建立關係,中級
b,bony,adj.,骨的、骨瘦如柴的,中級
b,booking,noun,預約、預訂,中級
b,booklet,noun,小冊子,中級
b,bookshelf,noun,書架,中級
b,boot,noun,靴子；猛踢、猛踹,中級
b,boot,verb,猛踹、猛踢；(使電腦)啟動,中級
b,border,noun/verb,國境、邊界；(國家或地區)與...接壤、和...毗鄰,中級
b,bore,verb/noun,使厭煩；煩人的人或事,中級
b,bounce,verb/noun,(使)彈起、(使)反彈；蹦蹦跳跳,中級
b,bow,noun,弓；(弦樂器的)琴弓；蝴蝶結船首(P),中級
b,boycott,verb/noun,抵制、拒絕購買或使用,中級
b,boyfriend,noun,男朋友,中級
b,bra,noun,胸罩=brassiere,中級
b,bracelet,noun,手環、手鐲,中級
b,brake,noun/verb,煞車,中級
b,brand,noun,品牌、商標；烙印,中級
b,brand,verb,打烙印於；譴責、加汙名於,中級
b,brand-new,adj.,全新的、嶄新的,中級
b,brass,noun/adj.,黃銅、黃銅製品；黃銅的、黃銅製的,中級
b,brass,noun/adj.,銅管樂器；銅管樂器的,中級
b,bravery,noun,勇敢、英勇行為,中級
b,breast,noun/verb,胸部、乳房；挺胸從...中擠過,中級
b,breath,noun,呼氣、一次吸入的空氣,中級
b,breathe,verb,呼吸,中級
b,breed,noun,品種；交配繁殖、飼養,中級
b,breed,verb,品種；交配繁殖、飼養,中級
b,breeze,noun/verb,和風、微風；飄然而行、輕盈自信地走,中級
b,bribe,noun/verb,賄賂,中級
b,bride,noun,新娘,中級
b,bridegroom,noun,新郎=groom,中級
b,briefcase,noun,公事包,中級
b,brilliant,adj.,絕妙的、聰穎的,中級
b,broke,adj.,沒錢、破產,中級
b,brook,noun,小溪、小河,中級
b,broom,noun,掃帚,中級
b,brownie,noun,布朗尼、巧克力方塊蛋糕,中級
b,browse,verb/noun,瀏覽,中級
b,brutal,adj.,殘暴的,中級
b,bubble,noun/verb,氣泡、泡沫；冒泡,中級
b,bud,noun/verb,花苞；發芽,中級
b,budget,noun/verb,預算；編列預算,中級
b,buffalo,noun,水牛,中級
b,bull,noun,公牛、雄象、雄鯨,中級
b,bullet,noun,子彈,中級
b,bulletin,noun,佈告、新聞快報、(機構的)簡報,中級
b,bump,verb/noun,碰到、撞到；碰撞聲、撞擊聲,中級
b,bunch,noun,串、束、大量,中級
b,burden,noun/verb,負荷、重擔；使擔負,中級
b,bureau,noun,辦公處、(政府部門的)局,中級
b,burglar,noun,竊賊,中級
b,bury,verb,埋葬、掩埋,中級
b,bush,noun,灌木,中級
b,butcher,noun,肉商、肉舖；劊子手,中級
b,butcher,verb,屠宰、宰殺；殺戮、屠殺,中級
b,buzz,verb/noun,發出嗡嗡聲；嗡嗡聲,中級
c,cabin,noun,小木屋；座艙,中級
c,calculate,verb,計算,中級
c,calculator,noun,計算機,中級
c,camel,noun,駱駝,中級
c,campaign,noun/verb,(尤指政治、商業或軍事的)專門活動、運動；發起運動,中級
c,canal,noun,運河,中級
c,candidate,noun,候選人、申請人、應試者,中級
c,cane,noun,(某些植物的)莖；手杖、拐杖,中級
c,canoe,noun/verb,獨木舟；(划、乘)獨木舟,中級
c,canvas,noun,帆布,中級
c,canyon,noun,峽谷,中級
c,capable,adj.,有能力的,中級
c,capacity,noun,容量；生產能力；(尤指人或組織的)辦事能力,中級
c,cape,noun,岬、海角；披風,中級
c,capital,noun,資金；首都；大寫字母,中級
c,capital,adj.,首要的；大寫字母的,中級
c,capitalism,noun,資本主義,中級
c,capitalist,noun/adj.,資本主義者、資本家；資本主義的,中級
c,caption,noun/verb,說明文字；在圖片加說明文字,中級
c,capture,verb/noun,俘虜、捕獲,中級
c,capture,verb,(用文字或圖像)描繪；拍攝；引起(關注、興趣),中級
c,carbon,noun,碳,中級
c,cargo,noun,(船或飛機裝載的)貨物,中級
c,carpenter,noun,木工,中級
c,carriage,noun,"四輪馬車；(火車的)車廂；貨運、運費車廂=coach(英),car(美)",中級
c,cart,noun/verb,手推車、馬車；運送、搬運,中級
c,carve,verb,雕刻,中級
c,cashier,noun,收銀員、出納員,中級
c,cast,noun/verb,演員陣容；分配角色、選派角色,中級
c,cast,verb/noun,投、拋、擲,中級
c,cast,verb/noun,鑄造；鑄造物、鑄模,中級
c,cast,verb,投票,中級
c,casual,adj.,(衣服)休閒的；不在意的、漫不經心的,中級
c,casualty,noun,傷亡人員,中級
c,catalog,noun/verb,目錄；編目錄=catalogue(BritishEnglish),中級
c,caterpillar,noun,毛毛蟲,中級
c,cattle,noun,牛,中級
c,cave,noun/verb,洞穴；挖洞穴、使塌落,中級
c,cease,verb/noun,停止；結束,中級
c,celebration,noun,慶祝、慶典、慶祝活動,中級
c,cement,noun/verb,水泥、黏接劑；塗上水泥、黏合,中級
c,ceremony,noun,典禮,中級
c,certificate,noun/verb,證書、證明、文憑；證明、發給結業證書,中級
c,chain,noun/verb,鍊條、鎖鏈、束縛；用鏈條鎖、拴住,中級
c,chain,noun,一系列、一連串,中級
c,challenge,noun/verb,挑戰,中級
c,chamber,noun,(有特定用途的)房間、會議室、議院,中級
c,champion,noun,冠軍、獲勝者,中級
c,champion,verb,支持、聲援、捍衛,中級
c,championship,noun,錦標賽、冠軍地位,中級
c,changeable,adj.,易變的、善變的,中級
c,characteristic,noun/adj.,特徵、特色；獨特的、典型的,中級
c,charity,noun,慈善事業、慈善機構、仁慈,中級
c,charm,noun,魅力、吸引力；護身符、符咒,中級
c,charm,verb,迷住、吸引,中級
c,check-in,noun,辦理登機手續、入住登記,中級
c,checkout,noun,付款處、收銀台、退房結帳,中級
c,cheek,noun,臉頰,中級
c,cheerful,adj.,快樂的,中級
c,chemist,noun,化學家,中級
c,chemistry,noun,化學、化學特性,中級
c,cherish,verb,珍惜,中級
c,cherry,noun/adj.,櫻桃、櫻桃樹；櫻桃紅的、鮮紅色的,中級
c,chest,noun,胸部、胸腔,中級
c,chew,verb/noun,咀嚼,中級
c,chick,noun,小雞、幼鳥,中級
c,childbirth,noun,分娩、生孩子,中級
c,chill,noun/adj./verb,寒意、寒冷；寒冷的、冷颼颼的；使變冷、使冷卻,中級
c,chilly,adj.,冷颼颼的,中級
c,chimney,noun,煙囪,中級
c,china,noun,瓷、瓷器,中級
