字母開頭,字彙,詞類,中文,級數
a,a,art.,一(個)後接母音開頭之字時為an;,初級
A,A.M.,adv.,上午=a.m.=AM,初級
a,ability,noun,能力、才能,初級
a,able,adj.,能夠的、有才能的,初級
a,about,prep./adv.,大約、關於；大約、幾乎、在周圍,初級
a,above,prep./adv.,在…上面、超過、大於,初級
a,above,adv./adj.,上文、前文；前文述及的、上述的,初級
a,abroad,adv.,在國外、到國外,初級
a,absent,adj.,缺席的、不在場的、心不在焉的,初級
a,accept,verb,收受、接受(提議、邀請)、同意、接納,初級
a,accident,noun,意外事故,初級
a,achieve,verb,達到、完成、實現,初級
a,across,prep./adv.,橫過、在對面,初級
a,across,prep.,在...各處、遍及,初級
a,act,noun/verb,表演者、(戲劇的)幕；演出、扮演,初級
a,act,noun/verb,行為、作為；行事、表現,初級
a,action,noun,行動、行為、動作,初級
a,active,adj.,活躍的、積極的,初級
a,activity,noun,活動,初級
a,actor,noun,演員,初級
a,actress,noun,女演員,初級
a,actually,adv.,實際上、事實上,初級
a,add,verb,加上、增加、補充說,初級
a,addition,noun,加法、添加、增加的人或物,初級
a,address,noun,地址、網址、位址；演講、演說,初級
a,admire,verb,欽佩、欣賞,初級
a,admit,verb,承認；准許進入,初級
a,adopt,verb,領養、接受、採納,初級
a,adult,noun/adj.,成年人；成年的、成熟的、僅限成人的,初級
a,advance,verb,(使)前進、使發展、促進,初級
a,advance,noun,前進、發展、進展,初級
a,advance,adj.,預先的、事先的,初級
a,advantage,noun,優點、優勢、好處,初級
a,adventure,noun,冒險、冒險經歷、奇遇,初級
a,advertisement,noun,廣告=ad,初級
a,advice,noun,建議、忠告,初級
a,advise,verb,建議、忠告、正式告知,初級
a,affair,noun,事務、事件,初級
a,affect,verb,影響、(疾病)感染,初級
a,afraid,adj.,害怕的、擔憂的,初級
a,after,prep./conj./adv.,在...後面；在...以後；以後、後來,初級
a,afternoon,noun,下午,初級
a,again,adv.,又、再一次,初級
a,against,prep.,緊貼著、倚靠著；逆著...的方向、迎著；反對、與...相反；以...為背景、襯托；防...、抗...,初級
a,age,noun,年齡、老化；時代、時期,初級
a,age,verb,衰老、使變老、使成熟,初級
a,ago,adv.,在…以前,初級
a,agree,verb,同意、贊成、相符,初級
a,ahead,adv.,在前面、領先、提早,初級
a,aid,noun/verb,幫助、援助；救援物資、輔助設備,初級
a,aim,verb/noun,計劃、瞄準；目標、瞄準,初級
a,air,noun,空氣、空中,初級
a,airconditioner,noun,冷氣機、空調,初級
a,aircraft,noun,飛機,初級
a,airline,noun,航空公司,初級
